129,998
146,924
197,907
224,435
263,804
337,786
400,976
420,575
415,670
413,802
463,686
443,900
450,943
478,743
474,898
496,795
481,896
499,889
508,879
518,956
527,960
550,629
558,561
559,834
590,725
635,408
574,815
588,954
606,660
622,763
647,928
649,948
678,959
704,750
708,891
716,843
716,907
716,946
726,891
735,644
733,907
734,915
745,869
755,969
766,805
819,723
774,856
789,801
826,858
816,615
825,803
834,741
842,815
859,489
880,805
907,8
883,848
895,876
909,708
941,873
954,785
969,788
978,755
975,830
1023,721
