122,985
224,898
265,841
268,972
338,695
393,761
387,922
414,675
412,780
412,890
433,654
437,992
483,839
483,497
498,454
491,908
492,943
541,671
509,835
538,442
525,748
536,926
554,881
553,773
561,750
555,803
599,975
603,959
613,627
615,789
621,662
649,928
676,956
697,752
698,926
703,955
705,846
718,897
736,438
744,665
759,832
766,893
769,781
779,747
777,928
776,884
787,886
795,717
811,818
813,917
814,774
823,837
834,942
841,600
846,716
856,664
843,846
855,891
871,732
893,739
955,792
963,777
1008,696
1009,814
1015,648
1024,795
