169,1023
259,981
281,711
333,788
381,611
374,359
381,918
397,562
444,845
478,963
489,657
523,563
493,887
515,613
568,286
534,791
527,913
581,686
582,959
602,820
612,750
628,884
661,681
656,760
689,902
700,935
716,444
720,679
724,949
724,909
730,948
731,773
754,901
761,675
765,902
778,819
778,901
784,882
784,919
792,706
810,913
814,759
814,802
836,699
818,856
821,549
826,930
838,680
845,777
859,773
871,836
872,934
876,860
892,669
897,725
941,673
929,735
995,614
1012,726
