76,370
141,97
230,980
291,973
355,816
375,767
388,993
452,868
465,899
471,548
476,990
501,901
515,931
533,1004
538,982
568,175
563,835
571,726
586,677
619,934
616,712
657,539
661,734
663,921
682,642
675,680
691,906
709,960
710,908
720,743
723,953
729,931
727,887
734,921
770,400
764,584
762,920
777,681
780,938
780,897
787,593
784,867
785,846
791,912
829,508
806,781
829,915
857,876
859,848
873,690
865,733
872,636
888,860
887,961
906,646
913,790
917,835
941,780
946,584
984,868
1016,770
