197,667
252,980
274,315
341,572
350,944
375,903
379,764
426,474
430,841
478,326
463,978
471,387
487,879
507,29
503,636
525,815
516,906
564,591
557,767
580,709
585,899
689,122
615,979
631,793
635,725
667,747
689,660
708,923
709,885
728,463
732,951
729,895
737,901
744,946
755,644
763,785
766,911
772,891
795,935
808,540
818,694
817,678
822,873
820,910
834,839
836,795
855,625
846,677
856,759
876,834
884,932
895,712
888,777
912,832
922,699
958,604
938,870
966,653
