120,992
182,930
227,873
275,968
300,746
383,712
394,782
399,919
408,652
438,883
438,981
446,802
459,961
494,497
481,920
489,929
519,770
505,558
507,838
533,831
538,912
536,933
567,733
554,516
585,767
594,800
594,956
604,644
642,1
615,962
630,938
654,625
662,937
675,656
667,964
691,908
692,740
698,957
734,832
741,854
754,821
748,911
754,893
769,448
763,882
779,781
789,838
791,942
808,718
808,951
818,782
821,848
846,718
847,828
857,732
855,637
855,867
933,804
952,874
969,784
981,824
978,722
988,836
1004,735
1017,789
1023,675
